DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,GADM Admin Units,Entry Date,Last Update
2022-0460-KEN,No,tec-tra-roa-roa,Technological,Transport,Road,Road,,,KEN,Kenya,Sub-Saharan Africa,Africa,Near Meru,,,No,No,No,,,,,,,2022,7,24,2022,7,24,37,,,,,,,,,,,93.29460735164,,,2022-07-27,2023-09-26
2022-0485-PER,No,tec-tra-roa-roa,Technological,Transport,Road,Road,,,PER,Peru,Latin America and the Caribbean,Americas,Between Mazamari et Puerto Ocopa (Junin),,,No,No,No,,,,,,,2022,7,31,2022,7,31,16,1,,,1,,,,,,,93.29460735164,,,2022-08-02,2023-09-26
2022-0492-GMB,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),GLIDE:FL-2022-000276,,GMB,Gambia,Sub-Saharan Africa,Africa,"Banjul, Kanifing Local Government Area,West Coast and North Bank Region",Heavy rains,Storm,No,No,No,,,Km2,,,,2022,7,30,2022,10,31,6,,17201,,17201,,,,,,,93.29460735164,"[{""adm1_code"":1288,""adm1_name"":""North Bank""},{""adm1_code"":1290,""adm1_name"":""West Coast""},{""adm2_code"":16405,""adm2_name"":""Banjul""}]",,2022-08-04,2023-09-26
2022-0493-NPL,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,NPL,Nepal,Southern Asia,Asia,Belaka municipality of Udayapur district; Saptakoshi,Incessant rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2022,8,2,2022,8,31,132,,5500,,5500,,,,,,,93.29460735164,,,2022-08-04,2023-09-26
2022-0497-MNG,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,GLIDE:FF-2022-000278,,MNG,Mongolia,Eastern Asia,Asia,"Arkhangai, Bulgan, Khuvsgul, Orkhon, Darkhan-Uul, Selenge provinces; Bayanzurkh, Songinokhairkhan, Chingeltei, Bayangol, Sukhbaatar, Khan-Uul (Ulaanbaatar)",Heavy rains,,No,No,No,,,Km2,,,,2022,6,,2022,7,26,,,4269,,4269,,,,,,,93.29460735164,,,2022-08-09,2023-09-26
2022-0507-BIH,No,tec-tra-roa-roa,Technological,Transport,Road,Road,,,BIH,Bosnia and Herzegovina,Southern Europe,Europe,,,,No,No,No,,,,,,,2022,8,6,2022,8,6,12,30,,,30,,,,,,,93.29460735164,,,2022-08-09,2023-09-26
2022-0515-CHN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),GLIDE:FL-2022-000292,,CHN,China,Eastern Asia,Asia,Xuwen county,Tropical Depression Mulan,,No,No,No,,,Km2,,,,2022,8,10,2022,8,10,,,,,,,,,,,,93.29460735164,,,2022-08-19,2023-09-26
2022-0537-ARM,No,tec-mis-exp-exp,Technological,Miscellaneous accident,Explosion (Miscellaneous),Explosion (Miscellaneous),GLIDE:OT-2022-000296,Commercial area 'Surmalu',ARM,Armenia,Western Asia,Asia,Erevan,Unknown,,No,No,No,,,,,,,2022,8,14,2022,8,14,17,62,5000,,5062,,,,,,,93.29460735164,,,2022-08-19,2023-09-26
2022-0540-TUR,No,tec-tra-roa-roa,Technological,Transport,Road,Road,,,TUR,Türkiye,Western Asia,Asia,Gaziantep province,,,No,No,No,,,,,,,2022,8,20,2022,8,20,15,31,,,31,,,,,,,93.29460735164,,,2022-08-22,2023-09-26
2022-0683-RUS,No,tec-tra-air-air,Technological,Transport,Air,Air,,Soukhoï 34,RUS,Russian Federation,Eastern Europe,Europe,Ieïsk,,,No,No,No,,,,,,,2022,10,17,2022,10,17,15,43,,,43,,,,,,,93.29460735164,,,2022-10-18,2023-09-26
2022-0684-COL,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),GLIDE:FL-2022-000264,,COL,Colombia,Latin America and the Caribbean,Americas,"Guaranda, Majagual, Sucre-Sucre, Caimito, San Marcos, San Benito, La Union (La Mojana sub-region)",Heavy rains,Broken Dam/Burst bank,No,No,No,,,Km2,,,,2022,8,27,2022,10,18,,,167250,,167250,,,,,,,93.29460735164,"[{""adm2_code"":14294,""adm2_name"":""Caimito""},{""adm2_code"":14299,""adm2_name"":""Guaranda""},{""adm2_code"":14302,""adm2_name"":""Majagual""}]",,2022-10-18,2023-09-26
2022-0688-STP,No,nat-bio-epi-vir,Natural,Biological,Epidemic,Viral disease,,Dengue,STP,Sao Tome and Principe,Sub-Saharan Africa,Africa,"Lemba, Lobata, Agua Grande, Mezochi, Cantagalo, Caue, RAP",,,No,No,No,,,Vaccinated,,,,2022,3,,2023,2,,,1187,,,1187,,,,,,,93.29460735164,,,2022-10-20,2023-09-26
2022-0707-PHL,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2022-000352,Storm 'Nalgae' (Paeng),PHL,Philippines,South-eastern Asia,Asia,"Cotabato; Datu Blah Sinsuat (Mindanao Isl.); Virac, Catanduanes, Caramoan, Camarines Sur, Buenavista, Quezon, Santa Cruz, Marinduque, San Juan, Batangas; Region III (Central Luzon), Region VI (Western Visayas), Region VII (Central Visayas), National Capital region (NCR)",,"Flood|Slide (land, mud, snow, rock)",No,No,No,,130,Kph,,,,2022,10,27,2022,10,28,158,103,3323188,,3323291,,,,,45569,48844,93.29460735164,,,2022-10-28,2023-09-26
2022-0710-KOR,No,tec-mis-mis-mis,Technological,Miscellaneous accident,Miscellaneous accident (General),Miscellaneous accident (General),,Stampede,KOR,Republic of Korea,Eastern Asia,Asia,Seoul,,,No,No,No,,,,,,,2022,10,29,2022,11,30,159,150,,,150,,,,,,,93.29460735164,,,2022-11-02,2023-09-26
2022-0731-NPL,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,GLIDE:EQ-2022-000358,,NPL,Nepal,Southern Asia,Asia,Doti district,,,No,No,No,,5.7,Moment Magnitude,29.274,81.149,,2022,11,9,2022,11,9,6,8,30000,,30008,,,,,,,93.29460735164,,,2022-11-10,2023-09-26
2022-0739-DZA,No,tec-tra-roa-roa,Technological,Transport,Road,Road,,,DZA,Algeria,Northern Africa,Africa,Between Reggane and Bordj Badji Mokhtar,,,No,No,No,,,,,,,2022,11,15,2022,11,15,16,3,,,3,,,,,,,93.29460735164,,,2022-11-15,2023-09-26
2022-0761-EGY,No,tec-tra-roa-roa,Technological,Transport,Road,Road,,,EGY,Egypt,Northern Africa,Africa,Hourghada,,,No,No,No,,,,,,,2022,11,20,2022,11,20,12,,,,,,,,,,,93.29460735164,,,2022-11-21,2023-09-26
2022-0762-CHN,No,tec-ind-exp-exp,Technological,Industrial accident,Explosion (Industrial),Explosion (Industrial),,Kaixinda Trading entreprise,CHN,China,Eastern Asia,Asia,Anyang (Henan province),,,No,No,No,,,m3,,,,2022,11,22,2022,11,22,38,2,,,2,,,,,,,93.29460735164,,,2022-11-22,2023-09-26
2022-0777-MAR,No,tec-tra-roa-roa,Technological,Transport,Road,Road,,,MAR,Morocco,Northern Africa,Africa,Near Taza,,,No,No,No,,,,,,,2022,11,22,2022,11,22,11,43,,,43,,,,,,,93.29460735164,,,2022-11-28,2023-09-26
2022-0797-UKR,No,tec-tra-roa-roa,Technological,Transport,Road,Road,,,UKR,Ukraine,Eastern Europe,Europe,Between Torez et Chakhtiorsk.,,,No,No,No,,,,,,,2022,12,7,2022,12,7,16,4,,,4,,,,,,,93.29460735164,,,2022-12-09,2023-09-26
2022-0806-AFG,No,tec-tra-roa-roa,Technological,Transport,Road,Road,,,AFG,Afghanistan,Southern Asia,Asia,Salang,,,No,No,No,,,,,,,2022,12,17,2022,12,18,31,37,,,37,,,,,,,93.29460735164,,,2022-12-21,2023-09-26
2024-9381-GRD,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,GLIDE:DR-2024-000079,,GRD,Grenada,Latin America and the Caribbean,Americas,"Saint Andrew, Saint David, Saint George",,Water shortage,No,No,Yes,,,Km2,,,,2024,5,,2024,7,,,,100000,,100000,,,,,,,100,,"[{""gid_1"":""GRD.2_1"",""name_1"":""Saint Andrew""},{""gid_1"":""GRD.3_1"",""name_1"":""Saint David""},{""gid_1"":""GRD.4_1"",""name_1"":""Saint George""}]",2024-06-14,2025-12-20
2022-0382-LBY,No,tec-tra-wat-wat,Technological,Transport,Water,Water,,Migrants,LBY,Libya,Northern Africa,Africa,,,,No,No,No,,,,,,,2022,6,27,2022,6,27,23,10,,,10,,,,,,,93.29460735164,,,2022-06-30,2023-09-26
2022-0385-TGO,No,tec-tra-roa-roa,Technological,Transport,Road,Road,,,TGO,Togo,Sub-Saharan Africa,Africa,"Bako,",,,No,No,No,,,,,,,2022,6,28,2022,6,28,13,15,,,15,,,,,,,93.29460735164,,,2022-06-30,2023-09-26
2022-0780-NGA,No,tec-tra-roa-roa,Technological,Transport,Road,Road,,,NGA,Nigeria,Sub-Saharan Africa,Africa,Near Abuja,,,No,No,No,,,,,,,2022,11,22,2022,11,22,17,4,,,4,,,,,,,93.29460735164,,,2022-11-28,2023-09-26
2022-0389-COL,No,tec-ind-exp-exp,Technological,Industrial accident,Explosion (Industrial),Explosion (Industrial),,Coal mine,COL,Colombia,Latin America and the Caribbean,Americas,Norte de Santander state,,Fire,No,No,No,,,m3,,,,2022,5,30,2022,5,30,15,,,,,,,,,,,93.29460735164,,,2022-06-30,2023-09-26
2022-0405-PAK,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),GLIDE:FL-2022-000270,,PAK,Pakistan,Southern Asia,Asia,"Lasbela, Jhal Magsi, Killa Saifullah, Pishin, Noshki, Kachhi, Khuzdar, Kalat and Chaman districts (Balochistan); Khyber Pakhtunkhwa, Sindh, Punjab, Azad Jammu, Gilgit Baltistan and Kashmir provinces",Monsoon rain,"Slide (land, mud, snow, rock)|Storm",No,Yes,Yes,,,Km2,,,,2022,6,14,2022,9,14,1739,12865,33000000,,33012865,10000000,10718733,7000,7503,15000000,16078100,93.29460735164,,,2022-07-07,2023-09-26
2022-0423-KOR,No,nat-met-ext-hea,Natural,Meteorological,Extreme temperature,Heat wave,,,KOR,Republic of Korea,Eastern Asia,Asia,,,,No,No,No,,,°C,,,,2022,7,1,2022,7,2,2,355,,,355,,,,,,,93.29460735164,,,2022-07-12,2023-09-26
2022-0314-PHL,No,tec-tra-wat-wat,Technological,Transport,Water,Water,,Ferry 'Mercraft 2',PHL,Philippines,South-eastern Asia,Asia,Quezon province,,,No,No,No,,,,,,,2022,5,21,2022,5,21,7,,120,,120,,,,,,,93.29460735164,,,2022-05-27,2023-09-26
2022-0324-IDN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IDN,Indonesia,South-eastern Asia,Asia,"Cipelang Village (Bogor Regency, West Java Province), Medan City (North Sumatra Province); Central Java Province; Central and North Kalimantan Province",,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2022,5,21,2022,5,24,,1,17200,,17201,,,,,,,93.29460735164,,,2022-05-30,2023-09-26
2022-0331-IDN,No,tec-tra-wat-wat,Technological,Transport,Water,Water,,,IDN,Indonesia,South-eastern Asia,Asia,Makassar detroit,,,No,No,No,,,,,,,2022,5,26,2022,5,26,19,,31,,31,,,,,,,93.29460735164,,,2022-05-30,2023-09-26
2022-0347-CIV,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),GLIDE:FL-2022-000249,,CIV,Côte d’Ivoire,Sub-Saharan Africa,Africa,"Abobo, Anyama, Attecoubé, Bingerville, Port-Bouët, Grand-Bassam (Abidjan); Azaguié, Bonoua, Dabo; B Alépé, Azaguié, Bonoua, Dabou,",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2022,6,16,2022,6,21,13,114,11478,,11592,,,,,,,93.29460735164,,,2022-06-29,2023-09-26
2022-0356-ZAF,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,ZAF,South Africa,Sub-Saharan Africa,Africa,"Kleinvlei, Ravensmead, Goodwood, Strand, Bonteheuwel, Belhar, Maitland and Bellville South.(Cape Town)",Heavy rains,,No,No,No,,,Km2,,,,2022,6,13,2022,6,15,,4,200,,204,,,,,,,93.29460735164,,,2022-06-29,2023-09-26
2022-0366-CUB,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,CUB,Cuba,Latin America and the Caribbean,Americas,"Matanzas, San Juan y Martinez, Pinar del Río",Heavy rains,,No,No,No,,,Km2,,,,2022,6,2,2022,6,6,3,,2300,,2300,,,,,25000,26797,93.29460735164,,,2022-06-29,2023-09-26
2022-0372-BGD,No,tec-ind-fir-fir,Technological,Industrial accident,Fire (Industrial),Fire (Industrial),,Shipping container depot,BGD,Bangladesh,Southern Asia,Asia,Sitakunda sub-district (Chittagong),,Explosion,No,No,No,,,m3,,,,2022,6,4,2022,6,4,49,,,,,,,,,,,93.29460735164,,,2022-06-29,2023-09-26
2022-0426-NPL,No,nat-bio-epi-bac,Natural,Biological,Epidemic,Bacterial disease,GLIDE:EP-2022-000253,Acute Watery Diarrhea,NPL,Nepal,Southern Asia,Asia,Kathmandu Valley,,,No,No,No,,,,,,,2022,6,16,2022,6,30,,,30000,,30000,,,,,,,93.29460735164,,,2022-07-13,2023-09-26
2022-0437-NGA,No,tec-tra-wat-wat,Technological,Transport,Water,Water,,,NGA,Nigeria,Sub-Saharan Africa,Africa,Lagos,,,No,No,No,,,,,,,2022,7,8,2022,7,8,16,,,,,,,,,,,93.29460735164,,,2022-07-19,2023-09-26
2022-0464-NGA,No,tec-tra-roa-roa,Technological,Transport,Road,Road,,,NGA,Nigeria,Sub-Saharan Africa,Africa,Kaduna state,,,No,No,No,,,,,,,2022,7,21,2022,7,21,30,,,,,,,,,,,93.29460735164,,,2022-07-28,2023-09-26
2022-0515-THA,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),GLIDE:FL-2022-000292,,THA,Thailand,South-eastern Asia,Asia,"Chiang Rai, Mukdahan, Yasothon, Ubon Ratchathani, Khon Kaen, Chaiyaphum, Mahasarakham, Prachinburi, Phra Nakhon Si Ayutthaya","Heavy rains, Tropical Depression Mulan",,No,No,No,,,Km2,,,Chao Phraya,2022,8,14,2022,8,16,,,63100,,63100,,,,,,,93.29460735164,,,2022-08-16,2023-09-26
2022-0522-NZL,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,NZL,New Zealand,Australia and New Zealand,Oceania,Nelson-Tasman and West Coast regions,,"Flood|Slide (land, mud, snow, rock)",No,No,Yes,,,Kph,,,Maitai,2022,8,15,2022,8,18,,,690,,690,,,,,,,93.29460735164,,,2022-08-18,2023-09-26
2022-0534-EGY,No,tec-mis-fir-fir,Technological,Miscellaneous accident,Fire (Miscellaneous),Fire (Miscellaneous),,Church,EGY,Egypt,Northern Africa,Africa,Cairo,,,No,No,No,,,,,,,2022,8,14,2022,8,14,41,14,,,14,,,,,,,93.29460735164,,,2022-08-19,2023-09-26
2022-0564-LBY,No,tec-tra-wat-wat,Technological,Transport,Water,Water,,Migrants,LBY,Libya,Northern Africa,Africa,Near Tolmeta,,,No,No,No,,,,,,,2022,8,30,2022,8,30,21,,,,,,,,,,,93.29460735164,,,2022-09-01,2023-09-26
2022-0565-IRN,No,tec-tra-roa-roa,Technological,Transport,Road,Road,,,IRN,Iran (Islamic Republic of),Southern Asia,Asia,Shoushtar (Khouzestan province),,,No,No,No,,,,,,,2022,8,30,2022,8,30,16,8,,,8,,,,,,,93.29460735164,,,2022-09-01,2023-09-26
2022-0581-VNM,No,tec-mis-fir-fir,Technological,Miscellaneous accident,Fire (Miscellaneous),Fire (Miscellaneous),,"Karaoké bar ""An Phu""",VNM,Viet Nam,South-eastern Asia,Asia,Thuan An,,,No,No,No,,,,,,,2022,9,6,2022,9,7,32,17,,,17,,,,,,,93.29460735164,,,2022-09-07,2023-09-26
2022-0595-IDN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,IDN,Indonesia,South-eastern Asia,Asia,"Mentawai Islands Regency, (West Sumatra Province)",,,No,No,No,,6,Moment Magnitude,,,,2022,9,11,2022,9,11,,3,6000,,6003,,,,,,,93.29460735164,,,2022-09-13,2023-09-26
2022-0599-TUN,No,tec-tra-wat-wat,Technological,Transport,Water,Water,,Migrants,TUN,Tunisia,Northern Africa,Africa,Near Mahdia,,,No,No,No,,,,,,,2022,9,6,2022,9,7,12,,,,,,,,,,,93.29460735164,,,2022-09-14,2023-09-26
2022-0621-IND,No,tec-tra-roa-roa,Technological,Transport,Road,Road,,,IND,India,Southern Asia,Asia,Kanpur (Uttar Pradesh state),,,No,No,No,,,,,,,2022,10,1,2022,10,1,26,16,,,16,,,,,,,93.29460735164,,,2022-10-04,2023-09-26
2022-0626-SYR,No,tec-tra-wat-wat,Technological,Transport,Water,Water,,Migrants,SYR,Syrian Arab Republic,Western Asia,Asia,,,,No,No,No,,,,,,,2022,9,22,2022,9,22,89,,,,,,,,,,,93.29460735164,,,2022-10-04,2023-09-26
2022-0631-BGD,No,tec-tra-wat-wat,Technological,Transport,Water,Water,,,BGD,Bangladesh,Southern Asia,Asia,Near Boda,,,No,No,No,,,,,,,2022,9,25,2022,9,25,68,,,,,,,,,,,93.29460735164,,,2022-10-06,2023-09-26
2022-0632-CHN,No,tec-mis-fir-fir,Technological,Miscellaneous accident,Fire (Miscellaneous),Fire (Miscellaneous),,Restaurant,CHN,China,Eastern Asia,Asia,Changchun,,,No,No,No,,,,,,,2022,9,28,2022,9,28,17,3,,,3,,,,,,,93.29460735164,,,2022-10-06,2023-09-26
2022-0633-COG,No,tec-tra-roa-roa,Technological,Transport,Road,Road,,,COG,Congo,Sub-Saharan Africa,Africa,Lubudi (Lualaba province),,,No,No,No,,,,,,,2022,9,26,2022,9,26,34,37,,,37,,,,,,,93.29460735164,,,2022-10-06,2023-09-26
2022-0643-HTI,No,nat-bio-epi-bac,Natural,Biological,Epidemic,Bacterial disease,GLIDE:EP-2022-000325,Cholera,HTI,Haiti,Latin America and the Caribbean,Americas,Port-au-Prince; Centre Department (Mirebalais),,,No,No,Yes,,,,,,,2022,10,1,2022,11,30,511,960,1938,,2898,,,,,,,93.29460735164,,,2022-10-10,2023-09-26
2022-0647-COL,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:FL-2022-000348|GLIDE:TC-2022-000343,Hurricane 'Julia',COL,Colombia,Latin America and the Caribbean,Americas,San Andrés and Providencia Archipelago,,,No,No,No,,,Kph,,,,2022,10,9,2022,10,10,,2,5000,,5002,,,,,,,93.29460735164,,,2022-10-11,2023-09-26
2022-0647-HND,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:FL-2022-000348|GLIDE:TC-2022-000343,Hurricane 'Julia',HND,Honduras,Latin America and the Caribbean,Americas,,,,No,No,No,,,Kph,,,,2022,10,9,2022,10,9,5,,144000,,144000,,,,,,,93.29460735164,,,2022-10-10,2023-09-26
2022-0652-UGA,No,nat-bio-epi-vir,Natural,Biological,Epidemic,Viral disease,GLIDE:EP-2022-000315,Ebola,UGA,Uganda,Sub-Saharan Africa,Africa,"Mubende, Kyegegwa, Kassanda, Kagadi, Bunyangabu, Wakiso, Kampala, Jinja",,,No,No,Yes,,,Vaccinated,,,,2022,9,20,2023,1,11,55,142,,,142,,,,,,,93.29460735164,,,2022-10-11,2023-09-26
2022-0702-NGA,No,tec-tra-wat-wat,Technological,Transport,Water,Water,,,NGA,Nigeria,Sub-Saharan Africa,Africa,Sokoto state,,,No,No,No,,,,,,,2022,10,20,2022,10,20,14,,,,,,,,,,,93.29460735164,,,2022-10-25,2023-09-26
2022-0726-GIN,No,tec-tra-roa-roa,Technological,Transport,Road,Road,,,GIN,Guinea,Sub-Saharan Africa,Africa,Sougueta,,,No,No,No,,,,,,,2022,11,6,2022,11,6,24,,,,,,,,,,,93.29460735164,,,2022-11-07,2023-09-26
